:I
#01
-2, 0
 1, 0
-2,-1
 1, 2
#03
-1, 0
 2, 0
-1,-2
 2, 1
#10
 2, 0
-1, 0
 2, 1
-1,-2
#12
-1, 0
 2, 0
-1, 2
 2,-1
#21
 1, 0
-2, 0
 1,-2
-2, 1
#23
 2, 0
-1, 0
 2, 1
-1,-2
#30
 1, 0
-2, 0
 1,-2
-2, 1
#32
-2, 0
 1, 0
-2,-1
 1, 2
:J
#01
-1, 0
-1, 1
 0,-2
-1,-2
#03
 1, 0
 1, 1
 0,-2
 1,-2
#10
 1, 0
 1,-1
 0, 2
 1, 2
#12
 1, 0
 1,-1
 0, 2
 1, 2
#21
-1, 0
-1, 1
 0,-2
-1,-2
#23
 1, 0
 1, 1
 0,-2
 1,-2
#30
-1, 0
-1,-1
 0, 2
-1, 2
#32
-1, 0
-1,-1
 0, 2
-1, 2
:L
#01
-1, 0
-1, 1
 0,-2
-1,-2
#03
 1, 0
 1, 1
 0,-2
 1,-2
#10
 1, 0
 1,-1
 0, 2
 1, 2
#12
 1, 0
 1,-1
 0, 2
 1, 2
#21
-1, 0
-1, 1
 0,-2
-1,-2
#23
 1, 0
 1, 1
 0,-2
 1,-2
#30
-1, 0
-1,-1
 0, 2
-1, 2
#32
-1, 0
-1,-1
 0, 2
-1, 2
:S
#01
-1, 0
-1, 1
 0,-2
-1,-2
#03
 1, 0
 1, 1
 0,-2
 1,-2
#10
 1, 0
 1,-1
 0, 2
 1, 2
#12
 1, 0
 1,-1
 0, 2
 1, 2
#21
-1, 0
-1, 1
 0,-2
-1,-2
#23
 1, 0
 1, 1
 0,-2
 1,-2
#30
-1, 0
-1,-1
 0, 2
-1, 2
#32
-1, 0
-1,-1
 0, 2
-1, 2
:T
#01
-1, 0
-1, 1
 0,-2
-1,-2
#03
 1, 0
 1, 1
 0,-2
 1,-2
#10
 1, 0
 1,-1
 0, 2
 1, 2
#12
 1, 0
 1,-1
 0, 2
 1, 2
#21
-1, 0
-1, 1
 0,-2
-1,-2
#23
 1, 0
 1, 1
 0,-2
 1,-2
#30
-1, 0
-1,-1
 0, 2
-1, 2
#32
-1, 0
-1,-1
 0, 2
-1, 2
:Z
#01
-1, 0
-1, 1
 0,-2
-1,-2
#03
 1, 0
 1, 1
 0,-2
 1,-2
#10
 1, 0
 1,-1
 0, 2
 1, 2
#12
 1, 0
 1,-1
 0, 2
 1, 2
#21
-1, 0
-1, 1
 0,-2
-1,-2
#23
 1, 0
 1, 1
 0,-2
 1,-2
#30
-1, 0
-1,-1
 0, 2
-1, 2
#32
-1, 0
-1,-1
 0, 2
-1, 2
$
